pHBatch,ActualRiesID,BlockID,BottleID,BottleSamp,CarboyID,Date.x,HeadVindtaTemp,HeadATCorr,HeadATRaw,HeadCalcpHTotal,HeadDICCorr,HeadDICFromAT,HeadDICRaw,HeaderWCNotes,HeadpHmeas,HeadpHNBSCorrection,HeadpHNBS,HeadpHCorrNBStoTotal,HeadpHTotal,HeadSalinity,mV1,mV2,mV3,Salinity1.x,Salinity2.x,Salinity3.x,SalinityBatch,Temperature,TimeRelative,Treatment,HeadATCalc_Total,HeadpCO2_Total,HeadHCO3_Total,HeadCO3_Total,HeadCO2_Total,HeadSatCal_Total,HeadSatArg_Total,CRM,CRMSalinity,Date.y,pH10_1,pH10_2,pH10_3,pH10Avg,pH7_1,pH7_2,pH7_3,pH7Avg,Salinity1.y,Salinity2.y,Salinity3.y,SalinityAvg,SalinityCorr,Slope,Intercept,WCStandardNotes,NA,NA,NA,NA,NA,NA,NA
6_B1,carboy_01_400_20180705_08Ju18l,B1,20180705_B1_C1before,TRUE,1,20180705,23.799999,1334.723843,1326.31,7.87020107,1263.01,1272.42,1258.77,"Temperatures missing, used 20 as defalut for CO2sys calcs, but will be doing carbouy test in bunker to examine temp variation and average mean temp value (ran with 21 temp as test in CO2sys and it only alter pCO2 by about 20 in ~400s and ~80 in ~2600+)",7.819734345,0.137225552,7.956959897,-0.129054855,7.827905042,19.88776119,-84,-84,-84,20,20,20,6_B1,NA,before,Control,1325.481445,478.2332299,1194.431774,51.81676505,16.76142771,1.373748996,0.841824314,162,33.312,20180705,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.5,33.5,33.5,33.5,-0.188,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
6_B1,carboy_03_400_20180705_08Ju18l,B1,20180705_B1_C4before,TRUE,4,20180705,24.92,1327.015424,1319.34,7.88153672,1253.08,1266.6,1248.87,"Temperatures missing, used 20 as defalut for CO2sys calcs, but will be doing carbouy test in bunker to examine temp variation and average mean temp value (ran with 21 temp as test in CO2sys and it only alter pCO2 by about 20 in ~400s and ~80 in ~2600+)",7.802656546,0.137225552,7.939882098,-0.129054855,7.810827243,19.88776119,-83,-83,-83,20,20,20,6_B1,NA,before,Control,1311.700928,494.0214067,1186.28623,49.47895986,17.31478195,1.311769876,0.803843918,162,33.312,20180705,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.5,33.5,33.5,33.5,-0.188,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
6_B1,carboy_04_2600_20180705_08Ju18l,B1,20180705_B1_C5before,TRUE,5,20180705,24.907,1330.10483,1321.85,7.052079428,1425.09,1431.56,1420.3,"Temperatures missing, used 20 as defalut for CO2sys calcs, but will be doing carbouy test in bunker to examine temp variation and average mean temp value (ran with 21 temp as test in CO2sys and it only alter pCO2 by about 20 in ~400s and ~80 in ~2600+)",6.943074004,0.137225552,7.080299556,-0.129054855,6.951244701,19.88776119,-33,-33,-32,20,20,20,6_B1,NA,before,Exposed,1300.895386,3864.660603,1282.249288,7.389599877,135.4511257,0.195910636,0.120052744,162,33.312,20180705,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.5,33.5,33.5,33.5,-0.188,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
6_B1,carboy_05_2600_20180705_08Ju18l,B1,20180705_B1_C2before,TRUE,2,20180705,24.907,1344.293956,1335.65,7.161768323,1411.11,1436.87,1406.37,"Temperatures missing, used 20 as defalut for CO2sys calcs, but will be doing carbouy test in bunker to examine temp variation and average mean temp value (ran with 21 temp as test in CO2sys and it only alter pCO2 by about 20 in ~400s and ~80 in ~2600+)",6.954459203,0.137225552,7.091684755,-0.129054855,6.9626299,19.88776119,-33,-34,-33,20,20,20,6_B1,NA,before,Exposed,1291.656738,3736.409978,1272.624878,7.52893669,130.9561148,0.199604688,0.122316435,162,33.312,20180705,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.5,33.5,33.5,33.5,-0.188,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
6_B1,carboy_02_400_20180705_08Ju18l,B1,20180705_B1_C3before,TRUE,3,20180705,24.834999,1325.878281,1317.9,7.849104257,1258.96,1262.76,1254.73,"Temperatures missing, used 20 as defalut for CO2sys calcs, but will be doing carbouy test in bunker to examine temp variation and average mean temp value (ran with 21 temp as test in CO2sys and it only alter pCO2 by about 20 in ~400s and ~80 in ~2600+)",7.802656546,0.137225552,7.939882098,-0.129054855,7.810827243,19.88776119,-83,-83,-83,20,20,20,6_B1,NA,before,Control,1317.731812,496.3398884,1191.852844,49.71110831,17.39604159,1.317924519,0.807615443,162,33.312,20180705,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.5,33.5,33.5,33.5,-0.188,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
6_B3,NA,B3,F,NA,1,20180810,NA,NA,NA,NA,NA,NA,NA,NA,7.790076336,0.13791168,7.927988016,-0.129054855,7.798933161,19.9872,-84,-84,-84,20,20,20,6_B3,21.4,after,Control,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180810,-212,-213,-213,-212.6666667,-38,-38,-38,-38,33.3,33.3,33.4,33.33333333,-0.02133333,-0.017175573,6.347328244,NA,NA,NA,NA,NA,NA,NA,NA
6_B3,NA,B3,F,NA,2,20180810,NA,NA,NA,NA,NA,NA,NA,NA,7.06870229,0.13791168,7.20661397,-0.129054855,7.077559115,19.9872,-42,-42,-42,20,20,20,6_B3,21.2,after,Exposed,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180810,-212,-213,-213,-212.6666667,-38,-38,-38,-38,33.3,33.3,33.4,33.33333333,-0.02133333,-0.017175573,6.347328244,NA,NA,NA,NA,NA,NA,NA,NA
7_B1,NA,B1,F,FALSE,3,20180709,NA,NA,NA,NA,NA,NA,NA,NA,7.735346359,0.138324589,7.873670948,-0.129054855,7.744616093,20.04704192,-72,-72,-72,20.1,20.1,20.1,7_B1,NA,before,Control,1325.878296,586.6076046,1218.53031,42.33579141,21.07497534,1.117596957,0.684054404,162,33.312,20180709,-214,-214,-213,-213.6666667,-26,-26,-26,-26,33.4,33.4,33.4,33.4,-0.088,-0.01598579,6.584369449,NA,NA,NA,NA,NA,NA,NA,NA
7_B1,NA,B1,F,FALSE,4,20180709,NA,NA,NA,NA,NA,NA,NA,NA,7.735346359,0.138324589,7.873670948,-0.129054855,7.744616093,20.04704192,-72,-72,-72,20.1,20.1,20.1,7_B1,NA,before,Control,1327.015381,587.1188243,1219.593372,42.37276501,21.09334186,1.118573001,0.684651817,162,33.312,20180709,-214,-214,-213,-213.6666667,-26,-26,-26,-26,33.4,33.4,33.4,33.4,-0.088,-0.01598579,6.584369449,NA,NA,NA,NA,NA,NA,NA,NA
7_B1,NA,B1,F,FALSE,1,20180709,NA,NA,NA,NA,NA,NA,NA,NA,7.719360568,0.138324589,7.857685157,-0.129054855,7.728630302,20.04704192,-71,-71,-71,20.1,20.1,20.1,7_B1,NA,before,Control,1334.723877,614.5297064,1230.39812,41.20321786,22.07812906,1.087698833,0.665754476,162,33.312,20180709,-214,-214,-213,-213.6666667,-26,-26,-26,-26,33.4,33.4,33.4,33.4,-0.088,-0.01598579,6.584369449,NA,NA,NA,NA,NA,NA,NA,NA
7_B1,NA,B1,F,FALSE,2,20180709,NA,NA,NA,NA,NA,NA,NA,NA,6.952042629,0.138324589,7.090367218,-0.129054855,6.961312363,20.04704192,-23,-23,-23,20.1,20.1,20.1,7_B1,NA,before,Exposed,1344.293945,3873.522779,1325.230115,7.583316418,139.1635505,0.200187385,0.122529917,162,33.312,20180709,-214,-214,-213,-213.6666667,-26,-26,-26,-26,33.4,33.4,33.4,33.4,-0.088,-0.01598579,6.584369449,NA,NA,NA,NA,NA,NA,NA,NA
7_B1,NA,B1,F,FALSE,5,20180709,NA,NA,NA,NA,NA,NA,NA,NA,6.98401421,0.138324589,7.122338799,-0.129054855,6.993283944,20.04704192,-25,-25,-25,20.1,20.1,20.1,7_B1,NA,before,Exposed,1330.104858,3556.609934,1309.763556,8.06737539,127.7778638,0.212965765,0.130351258,162,33.312,20180709,-214,-214,-213,-213.6666667,-26,-26,-26,-26,33.4,33.4,33.4,33.4,-0.088,-0.01598579,6.584369449,NA,NA,NA,NA,NA,NA,NA,NA
7_B3,NA,B3,F,NA,1,20180811,NA,NA,NA,NA,NA,NA,NA,NA,7.757170172,0.13791168,7.895081852,-0.129054855,7.766026997,19.9872,-82,-82,-82,20,20,20,7_B3,20,before,Control,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180811,-212,-212,-213,-212.3333333,-38,-38,-38,-38,33.3,33.4,33.3,33.33333333,-0.02133333,-0.017208413,6.346080306,NA,NA,NA,NA,NA,NA,NA,NA
7_B3,NA,B3,F,NA,2,20180811,NA,NA,NA,NA,NA,NA,NA,NA,7.068833652,0.13791168,7.206745332,-0.129054855,7.077690477,19.9872,-42,-42,-42,20,20,20,7_B3,20,before,Exposed,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180811,-212,-212,-213,-212.3333333,-38,-38,-38,-38,33.3,33.4,33.3,33.33333333,-0.02133333,-0.017208413,6.346080306,NA,NA,NA,NA,NA,NA,NA,NA
8_B1,L18_L_20180717_C2_18Jul18,B1,20180717_B1_C2before,TRUE,2,20180717,NA,NA,1581.35,NA,NA,NA,1455.2,NA,6.897533207,0.138324589,7.035857796,-0.129054855,6.906802941,20.04704192,-29,-29,-32,20.1,20.1,20.1,8_B1,21.2,before,Exposed,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180717,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.4,33.4,33.4,33.4,-0.088,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
8_B1,L18_L_20180717_C3_18Jul18,B1,20180717_B1_C3before,TRUE,3,20180717,NA,NA,1369.28,NA,NA,NA,1324.7,NA,7.75142315,0.138324589,7.889747739,-0.129054855,7.760692884,20.04704192,-80,-80,-80,20.1,20.1,20.1,8_B1,20.9,before,Control,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180717,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.4,33.4,33.4,33.4,-0.088,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
8_B1,L18_L_20180717_C1_18Jul18,B1,20180717_B1_C1before,TRUE,1,20180717,NA,NA,1659.46,NA,NA,NA,1330.71,NA,7.768500949,0.138324589,7.906825538,-0.129054855,7.777770683,20.04704192,-81,-82,-80,20.1,20.1,20.1,8_B1,20.8,before,Control,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180717,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.4,33.4,33.4,33.4,-0.088,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
8_B1,L18_L_20180717_C4_18Jul18,B1,20180717_B1_C4before,TRUE,4,20180717,NA,NA,1323.58,NA,NA,NA,1279.02,NA,7.734345351,0.138324589,7.87266994,-0.129054855,7.743615085,20.04704192,-80,-79,-78,20.1,20.1,20.1,8_B1,21.2,before,Control,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180717,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.4,33.4,33.4,33.4,-0.088,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
8_B1,L18_L_20180717_C5_18Jul18,B1,20180717_B1_C5before,TRUE,5,20180717,NA,NA,1323.39,NA,NA,NA,1426.79,NA,6.914611006,0.138324589,7.052935595,-0.129054855,6.92388074,20.04704192,-33,-30,-30,20.1,20.1,20.1,8_B1,21.8,before,Exposed,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180717,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.4,33.4,33.4,33.4,-0.088,-0.017077799,6.385199241,NA,NA,NA,NA,NA,NA,NA,NA
8_B3,NA,B3,F,NA,1,20180806,NA,NA,NA,NA,NA,NA,NA,NA,7.791586998,0.137773214,7.929360212,-0.129054855,7.800305357,19.96713253,-82,-82,-82,19.9,19.9,19.9,8_B3,21.5,before,Control,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180806,-210,-211,-210,-210.3333333,-36,-36,-36,-36,33.2,33.2,33.2,33.2,0.112,-0.017208413,6.380497132,NA,NA,NA,NA,NA,NA,NA,NA
8_B3,NA,B3,F,NA,2,20180806,NA,NA,NA,NA,NA,NA,NA,NA,7.108986616,0.137773214,7.24675983,-0.129054855,7.117704975,19.96713253,-42,-43,-42,19.9,19.9,19.9,8_B3,21.5,before,Exposed,NA,NA,NA,NA,NA,NA,NA,162,33.312,20180806,-210,-211,-210,-210.3333333,-36,-36,-36,-36,33.2,33.2,33.2,33.2,0.112,-0.017208413,6.380497132,NA,NA,NA,NA,NA,NA,NA,NA
9_B2,NA,B2,F,NA,1,20180724,NA,NA,NA,NA,NA,NA,NA,NA,7.775862069,0.138185314,7.914047383,-0.129054855,7.784992528,20.02685714,-47,-79,-79,20.2,20.2,20.2,9_B2,20.7,before,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9_B2,NA,B2,F,NA,2,20180724,NA,NA,NA,NA,NA,NA,NA,NA,7.212643678,0.137501229,7.350144907,-0.129054855,7.221090052,19.92771429,-47,-46,-46,20.1,20.1,20.1,9_B2,20.9,before,Exposed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
